open file error: Sleipnir.20170610.2//6582.dividend
fread failed : Sleipnir.20170610.2//6582.dividend
open file error: Sleipnir.20170610.2//6582.earning.month
fread failed : Sleipnir.20170610.2//6582.earning.month
open file error: Sleipnir.20170610.2//6582.earning.season
fread failed : Sleipnir.20170610.2//6582.earning.season
open file error: Sleipnir.20170610.2//6582.price
fread failed : Sleipnir.20170610.2//6582.price
open file error: Sleipnir.20170610.2//6213.dividend
fread failed : Sleipnir.20170610.2//6213.dividend
save data failed
fread failed : Sleipnir.20170610.2//3708.earning.month
skcodelist.codenum = 701 
,101,49.00,23.30,33.89,9.71,3.49,1.50,0.00,4.43,4.43,
,102,46.10,29.85,40.63,13.03,3.12,1.00,0.00,2.46,2.46,
,103,55.70,35.10,45.94,12.21,3.76,2.10,0.00,4.57,4.57,
,104,45.70,19.20,33.62,10.76,3.13,2.20,0.00,6.54,6.54,
,105,72.70,35.60,54.29,11.93,4.55,1.60,0.00,2.95,2.95,
,106,63.80,47.65,56.33,8.17,6.90,3.90,0.00,6.92,6.92,
,1060609,50.80,50.80,50.80,8.25,6.16,3.90,0.00,7.68,7.68,
,69.09,36.00,
國精化(4722),101,27.75,21.10,23.65,12.85,1.84,1.00,0.00,4.23,4.23,
,102,38.80,21.90,26.78,13.32,2.01,1.50,0.00,5.60,5.60,
,103,27.40,21.00,24.30,15.35,1.58,1.20,0.00,4.94,4.94,
,104,35.10,24.25,28.75,11.77,2.44,1.50,0.00,5.22,5.22,
,105,38.95,30.40,34.89,8.89,3.93,2.80,0.00,8.03,8.03,
,106,35.55,30.75,33.86,9.47,3.57,2.50,0.00,7.38,7.38,
,1060609,31.45,31.45,31.45,9.98,3.15,2.50,0.00,7.95,7.95,
,37.06,17.85,
瑞儀(6176),96,60.90,37.00,50.68,11.96,4.24,0.00,0.00,0.00,0.00,
,97,48.70,17.20,33.53,7.12,4.71,3.00,0.30,8.95,11.59,
,98,48.65,19.70,37.15,14.80,2.51,1.70,0.30,4.58,7.35,
,99,63.30,38.60,45.28,12.37,3.66,2.30,0.30,5.08,7.84,
,100,120.00,56.10,87.05,11.80,7.38,3.80,0.30,4.37,7.14,
,101,156.00,82.30,126.86,12.00,10.57,6.50,0.30,5.12,7.88,
,102,121.00,87.90,107.27,9.77,10.97,8.00,0.30,7.46,10.14,
,103,142.00,99.00,120.79,13.28,9.10,7.00,0.00,5.80,5.80,
,104,119.00,74.80,97.75,13.96,7.00,5.50,0.00,5.63,5.63,
,105,71.70,44.30,55.41,7.86,7.05,4.50,0.00,8.12,8.12,
,106,66.90,55.80,61.87,8.55,7.24,4.50,0.00,7.27,7.27,
,1060609,65.40,65.40,65.40,8.80,7.43,4.50,0.00,6.88,6.88,
,79.40,21.41,
達欣工(2535),95,15.60,8.38,10.83,10.69,1.01,0.00,0.00,0.00,0.00,
,96,17.15,11.20,13.65,10.60,1.29,0.00,0.00,0.00,0.00,
,97,28.35,9.40,17.25,13.21,1.31,1.20,0.00,6.96,6.96,
,98,27.40,9.90,19.27,16.88,1.14,0.90,0.00,4.67,4.67,
,99,23.25,16.15,18.35,16.80,1.09,1.20,0.00,6.54,6.54,
,100,20.95,15.60,17.93,10.59,1.69,1.60,0.00,8.92,8.92,
,101,20.30,16.45,18.56,9.55,1.94,1.60,0.00,8.62,8.62,
,102,30.85,20.00,25.91,9.33,2.78,2.10,0.00,8.11,8.11,
,103,29.20,19.95,24.75,7.09,3.49,2.50,0.00,10.10,10.10,
,104,20.85,13.00,17.25,9.07,1.90,1.50,0.00,8.69,8.69,
,105,20.90,18.40,16.79,8.87,1.89,1.00,0.00,5.96,5.96,
,106,20.85,19.05,19.59,7.74,2.53,1.65,0.00,8.42,8.42,
,1060609,19.65,19.65,19.65,7.15,2.75,1.65,0.00,8.40,8.40,
,23.14,17.76,
亞弘電(6201),95,31.55,26.35,28.50,6.37,4.48,0.00,0.00,0.00,0.00,
,96,47.90,29.60,37.58,10.81,3.48,0.00,0.00,0.00,0.00,
,97,35.95,17.90,25.89,7.41,3.49,2.80,0.00,10.82,10.82,
,98,29.85,17.60,24.70,8.75,2.82,2.00,0.00,8.10,8.10,
,99,34.65,25.60,29.05,12.32,2.36,2.00,0.00,6.89,6.89,
,100,28.95,24.50,26.96,11.59,2.33,2.00,0.00,7.42,7.42,
,101,29.20,25.10,27.36,12.77,2.14,2.10,0.00,7.68,7.68,
,102,30.15,22.75,27.21,17.37,1.57,1.80,0.00,6.62,6.62,
,103,26.95,23.50,24.46,21.74,1.13,2.00,0.00,8.18,8.18,
,104,26.90,22.70,25.43,12.67,2.01,1.80,0.00,7.08,7.08,
,105,36.40,24.75,29.10,11.73,2.48,2.00,0.00,6.87,6.87,
,106,35.90,30.75,33.05,11.12,2.97,3.00,0.00,9.08,9.08,
,1060609,33.55,33.55,33.55,10.82,3.10,3.00,0.00,8.94,8.94,
,46.27,37.92,
光磊(2340),95,20.40,12.65,14.88,72.48,0.21,0.00,0.00,0.00,0.00,
,96,42.70,18.20,26.96,91.71,0.29,0.00,0.00,0.00,0.00,
,97,34.40,6.90,21.52,15.96,1.35,1.00,0.00,4.65,4.65,
,98,29.75,10.40,23.32,98.30,0.24,0.25,0.00,1.07,1.07,
,99,30.60,19.65,23.54,97.94,0.24,0.25,0.00,1.06,1.06,
,100,22.25,9.86,16.12,13.14,1.23,1.00,0.00,6.20,6.20,
,101,15.50,10.60,12.58,15.56,0.81,0.60,0.00,4.77,4.77,
,102,13.15,11.05,11.90,17.97,0.66,0.45,0.00,3.78,3.78,
,103,17.25,11.85,14.57,17.77,0.82,0.60,0.00,4.12,4.12,
,104,14.50,7.41,11.50,11.67,0.99,0.75,0.00,6.52,6.52,
,105,14.70,9.05,12.04,10.23,1.18,1.00,0.00,8.30,8.30,
,106,18.70,13.55,17.08,10.38,1.65,1.20,0.00,7.03,7.03,
,1060609,17.90,17.90,17.90,10.59,1.69,1.20,0.00,6.70,6.70,
,22.99,28.46,
允強(2034),95,43.80,25.30,33.87,12.92,2.62,0.00,0.00,0.00,0.00,
,96,60.30,28.05,46.59,7.74,6.02,0.00,0.00,0.00,0.00,
,97,38.40,9.69,24.20,26.87,0.90,1.52,0.81,6.28,13.22,
,98,30.90,11.90,22.03,76.16,0.29,0.20,0.80,0.91,8.20,
,99,30.00,20.00,23.84,16.06,1.48,0.50,0.00,2.10,2.10,
,100,27.30,15.10,21.21,16.00,1.33,1.21,0.00,5.71,5.71,
,101,19.90,14.85,16.76,16.25,1.03,1.20,0.00,7.16,7.16,
,102,23.20,15.75,18.12,15.44,1.17,0.70,0.00,3.86,3.86,
,103,31.60,21.55,26.31,13.29,1.98,1.50,0.00,5.70,5.70,
,104,25.85,15.80,21.48,9.91,2.17,2.00,0.00,9.31,9.31,
,105,29.95,18.35,23.48,15.23,1.54,1.00,1.00,4.26,12.83,
,106,29.60,23.85,26.09,14.74,1.77,1.80,0.00,6.90,6.90,
,1060609,24.75,24.75,24.75,11.57,2.14,1.80,0.00,7.27,7.27,
,29.36,18.62,
名軒(1442),95,18.00,9.60,12.16,21.22,0.57,0.00,0.00,0.00,0.00,
,96,31.20,14.40,24.04,24.44,0.98,0.00,0.00,0.00,0.00,
,97,28.90,8.90,18.93,23.17,0.82,0.00,0.00,0.00,0.00,
,98,19.50,9.10,14.08,8.47,1.66,1.20,0.00,8.52,8.52,
,99,26.00,17.20,20.42,9.12,2.24,1.50,0.00,7.35,7.35,
